Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..,..,..,..,..,..,..,..,..,..,0.285942048725209,0.348901242277556,0.404489584856015,0.800825991992196,0.958407345500871,1.23426893871141,1.39070380500272,1.28672086829459,1.22850256840073,1.56927466145043,1.65708764761054,1.27695038812508,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.265019028375943,0.354491193186429,0.397696520878019,0.386703580037567,0.289482199333597,0.288231474992077,0.29524233685244,0.355951223042959,0.344837070896956,0.39792079319002,0.362219986033825,0.381654455836315,..,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.191389344873899,0.180673785712218,0.126516979194494,0.109105697327004,0.0966377461048794,0.0887811567538702,0.0822665176792927,0.0755586978539722,0.0712697016384245,0.0582468417051747,0.0551666066110075,0.0552927191691124,0.0668101379335566,0.0730049683971786,0.0548667587320485,0.0803611343666108,0.0897569086344725,0.109940042004685,0.165573354936329,0.239506900543419,0.304230215945755,0.408965290862913,0.335061035441608,0.29808781267706,0.283692395910162,0.297971774718822,0.268358772656602,0.281195815732375,0.299082634225993,0.297563650500103,0.223478872007068,..,..
Afghanistan,AFG,Coastal protection,EN.CLC.CSTP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.8876889849,32.3549091073,35.8221292297,39.2893493521,42.7565694744,46.2237895968,49.6910097192,53.1582298416,56.625449964,60.0926700864,63.5598902088,67.0271103312,70.4943304536,69.0636658158,67.6330011781,66.2023365403,64.769096724,63.3377882916,61.9064798592,60.4751714268,59.0438629945,57.6125545621,56.1812461297,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,..,..
Afghanistan,AFG,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.629799085461752,0.653212147377514,0.590874896837494,0.51485192905334,0.482861419082006,0.476586365223226,0.506927963513487,0.528250534338452,0.538574397078872,0.559749640850078,0.489196887557897,0.42396409009016,0.485488006908106,0.463982406813297,0.445806192875121,0.439623301460383,0.439259505503766,0.448223823288005,0.48831965619966,0.488782719872375,0.539066451713237,0.529946757097991,0.513088100859965,0.501664894646239,0.498224786428501,0.472363655690926,0.456554917806098,0.43760849731078,0.433917144386382,0.415126078320499,0.416246028518255,..,..
Afghanistan,AFG,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.1,6.3,6.5,6.8,7,7.3,7.6,7.9,8.2,8.4,8.7,9.1,9.4,9.7,10,10.4,10.7,11,11.4,11.7,12.1,12.5,12.9,13.4,13.8,14.2,14.7,15.2,15.6,16.1,16.6,17.1,17.7,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.3,23,..,..,..,..,..,..
Afghanistan,AFG,Tree Cover Loss (hectares),AG.LND.FRLS.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179,244,201,236,152,253,107,70,88,113,39,1,3,0,0,0,26,17,37,26,..
